id,Name,age_2019,2019
9,Mahendra Singh Dhoni, 38 ,CSK
17,Parthiv Patel, 34 ,RCB
18,Ravichandran Ashwin, 33 ,KXIP
24,Suresh Raina, 33 ,CSK
42,Rohit Sharma, 32 ,MI
48,AB de Villiers, 35 ,RCB
52,Dinesh Karthik, 34 ,KKR
77,Chris Gayle, 40 ,KXIP
92,Siddarth Kaul, 29 ,SRH
97,Wriddhiman Saha, 35 ,SRH
113,Piyush Chawla, 31 ,KKR
126,Yuvraj Singh, 38 ,MI
128,Ajinkya Rahane, 31 ,RR
133,Dhawal Kulkarni, 31 ,RR
136,Dwayne Bravo, 36 ,CSK
139,Harbhajan Singh, 39 ,CSK
140,Lasith Malinga, 36 ,MI
143,Manish Pandey, 30 ,SRH
148,Robin Uthappa, 34 ,KKR
177,Shreevats Goswami, 30 ,SRH
180,Virat Kohli, 31 ,RCB
201,Ravindra Jadeja, 31 ,CSK
203,Shane Watson, 38 ,CSK
210,Yusuf Pathan, 37 ,SRH
213,Murali Vijay, 35 ,CSK
228,David Warner, 33 ,SRH
232,Umesh Yadav, 32 ,RCB
238,Moises Henriques, 32 ,KXIP
258,Bhuvneshwar Kumar, 29 ,SRH
265,Karn Sharma, 32 ,CSK
266,Kedar Jadhav, 34 ,CSK
312,Jaydev Unadkat, 28 ,RR
313,Mandeep Singh, 28 ,KXIP
324,Ambati Rayudu, 34 ,CSK
327,Kieron Pollard, 32 ,MI
330,Stuart Binny, 35 ,RR
333,Steve Smith, 30 ,RR
344,Francois du Plessis, 35 ,CSK
352,Chris Lynn, 29 ,KKR
361,Shahbaz Nadeem, 30 ,SRH
368,Mohammed Shami, 29 ,KXIP
370,Shakib Al Hasan, 32 ,SRH
381,David Miller, 30 ,KXIP
382,Manan Vohra, 26 ,RR
393,Suryakumar Yadav, 29 ,MI
394,Yuzvendra Chahal, 29 ,RCB
412,Mayank Agarwal, 28 ,KXIP
417,Deepak Chahar, 27 ,CSK
429,Andre Russell, 31 ,KKR
435,Pawan Negi, 26 ,RCB
442,Sanju Samson, 25 ,RR
443,Sunil Narine, 31 ,KKR
444,Ben Cutting, 32 ,MI
445,Gurkeerat Singh, 29 ,RCB
462,Karun Nair, 28 ,KXIP
470,Ankit Rajpoot, 26 ,KXIP
478,Vijay Shankar, 28 ,SRH
489,Jasprit Bumrah, 26 ,MI
491,Nathan Coulter-Nile, 32 ,RCB
498,KL Rahul, 27 ,KXIP
508,Quinton de Kock, 27 ,MI
512,Imran Tahir, 40 ,CSK
520,Shardul Thakur, 28 ,CSK
527,Shreyas Gopal, 26 ,RR
536,Ricky Bhui, 23 ,SRH
537,Andrew Tye, 33 ,KXIP
542,Marcus Stoinis, 30 ,RCB
554,Hardik Pandya, 26 ,MI
556,Mitchell McClenaghan, 33 ,MI
557,Nitish Rana, 26 ,KKR
561,Sarfaraz Khan, 22 ,KXIP
567,Kane Williamson, 29 ,SRH
570,Carlos Brathwaite, 31 ,KKR
571,Khaleel Ahmed, 22 ,SRH
572,Mahipal Lomror, 20 ,RR
574,Sam Billings, 28 ,CSK
575,Akshdeep Nath, 26 ,RCB
576,Ishan Kishan, 21 ,MI
585,Jos Buttler, 29 ,RR
587,Krunal Pandya, 28 ,MI
588,Martin Guptill, 33 ,SRH
605,Navdeep Saini, 27 ,RCB
608,Basil Thampi, 26 ,SRH
612,Rinku Singh, 22 ,KKR
617,Colin de Grandhomme, 33 ,RCB
621,T Natarajan, 28 ,SRH
623,Krishnappa Gowtham, 31 ,RR
624,Kulwant Khejroliya, 27 ,RCB
625,Nicholas Pooran, 24 ,KXIP
630,Ben Stokes, 28 ,RR
631,Lockie Ferguson, 28 ,KKR
634,Rahul Tripathi, 28 ,RR
636,Washington Sundar, 20 ,RCB
637,Mohammad Nabi, 34 ,SRH
638,Mohammed Siraj, 25 ,RCB
639,Rashid Khan, 21 ,SRH
642,Dhruv Shorey, 27 ,CSK
645,Nayaran Jagadeesan, 23 ,CSK
646,KM Asif, 26 ,CSK
647,Chaitanya Bishnoi, 25 ,CSK
648,Monu Kumar, 25 ,CSK
649,Lungi Ngidi, 23 ,CSK
650,Mitchell Santner, 27 ,CSK
654,Abhishek Sharma, 19 ,SRH
660,Mujeeb Ur Rahman, 18 ,KXIP
661,Shubman Gill, 20 ,KKR
